City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
190,Sao Felix Do Xingu,-6.6447,-51.995,75.11,77,90,1.9,BR,2021-01-09 03:19:44
191,Pedernales,18.0384,-71.744,75.61,68,100,3.56,DO,2021-01-09 03:19:44
192,Kabo,7.6994,18.629,67.73,25,15,2.3,CF,2021-01-09 03:19:44
193,Leningradskiy,69.3833,178.4167,-20.2,79,0,3.11,RU,2021-01-09 03:19:44
194,Salalah,17.0151,54.0924,68.0,52,0,6.91,OM,2021-01-09 03:19:45
195,Kutum,14.2,24.6667,56.03,37,5,9.31,SD,2021-01-09 03:19:45
196,Kavieng,-2.5744,150.7967,84.67,71,90,10.85,PG,2021-01-09 03:19:45
197,Yumen,40.2833,97.2,12.67,63,100,24.81,CN,2021-01-09 03:19:45
198,Coolum Beach,-26.5333,153.1,72.0,91,100,4.0,AU,2021-01-09 03:19:45
199,Cabo San Lucas,22.8909,-109.9124,68.0,77,1,2.3,MX,2021-01-09 03:17:05
200,College,64.8569,-147.8028,3.2,78,75,3.44,US,2021-01-09 03:19:46
201,Saint-Raymond,45.467,-73.6095,21.2,58,7,6.91,CA,2021-01-09 03:19:46
202,Yacuiba,-22.038,-63.6797,70.81,87,82,3.04,BO,2021-01-09 03:19:46
203,Iskateley,67.6803,53.1512,-3.21,93,7,2.37,RU,2021-01-09 03:19:46
204,Jumla,29.2747,82.1838,48.43,37,26,2.35,NP,2021-01-09 03:19:47
205,Atar,20.5169,-13.0499,62.49,65,0,6.89,MR,2021-01-09 03:16:19
206,Tuktoyaktuk,69.4541,-133.0374,1.4,85,20,4.61,CA,2021-01-09 03:19:47
207,Thompson,55.7435,-97.8558,5.0,85,1,2.3,CA,2021-01-09 03:15:06
208,Krasnogorsk,55.8225,37.3181,23.0,93,90,8.95,RU,2021-01-09 03:19:48
209,Cape Town,-33.9258,18.4232,66.0,88,0,6.91,ZA,2021-01-09 03:15:27
210,Kieta,-6.2167,155.6333,86.43,56,59,3.76,PG,2021-01-09 03:19:48
211,Kabinda,-6.1333,24.4833,62.69,95,100,2.01,CD,2021-01-09 03:19:48
212,Cherskiy,68.75,161.3,-21.6,88,84,2.15,RU,2021-01-09 03:19:48
213,Lanxi,29.2195,119.477,36.66,59,0,4.25,CN,2021-01-09 03:19:48
214,Amuntai,-2.4177,115.2494,84.61,75,100,2.91,ID,2021-01-09 03:19:49
215,Chingirlau,51.095,54.0814,23.85,98,100,16.11,KZ,2021-01-09 03:19:49
216,Kasempa,-13.4584,25.8338,64.83,95,100,8.1,ZM,2021-01-09 03:19:49
217,Governador Valadares,-18.8511,-41.9494,72.68,87,100,1.07,BR,2021-01-09 03:19:49
218,Voh,-20.9667,164.7,86.22,73,73,2.91,NC,2021-01-09 03:19:49
219,Ilheus,-14.7889,-39.0494,80.6,83,40,6.91,BR,2021-01-09 03:19:10
220,Cervo,43.6702,-7.4101,30.99,94,84,1.99,ES,2021-01-09 03:19:50
221,Bethel,41.3712,-73.414,25.0,68,1,3.44,US,2021-01-09 03:18:29
222,Mabaruma,8.2,-59.7833,72.81,98,100,1.86,GY,2021-01-09 03:19:50
223,Bardiyah,31.7561,25.0865,61.99,61,0,9.64,LY,2021-01-09 03:19:51
224,Acarau,-2.8856,-40.12,79.59,80,94,16.46,BR,2021-01-09 03:19:51
225,Maraba,-5.3686,-49.1178,73.4,100,40,8.05,BR,2021-01-09 03:19:51
226,Puqi,29.7167,113.8833,39.09,53,4,2.3,CN,2021-01-09 03:19:51
227,Aranda De Duero,41.6704,-3.6892,27.37,97,100,13.38,ES,2021-01-09 03:16:44
228,Sa Kaeo,13.75,102.3333,73.94,49,0,11.56,TH,2021-01-09 03:19:51
229,Prieska,-29.6641,22.7474,77.09,56,0,7.54,ZA,2021-01-09 03:19:52
230,Kahului,20.8947,-156.47,80.6,57,20,11.5,US,2021-01-09 03:16:19
231,Rundu,-17.9333,19.7667,67.77,90,91,2.68,NA,2021-01-09 03:19:52
232,Ahipara,-35.1667,173.1667,72.73,69,3,7.2,NZ,2021-01-09 03:19:52
